locx,locy,state
19.276,19.067965,1
0.977,1.929380,1
17.420,10.743736,2
16.887,13.619800,1
7.420,15.571764,2
7.801,15.033418,1
9.648,2.642293,0
5.831,1.687063,0
12.018,14.825892,0
12.536,8.409070,1
1.541,6.603595,2
7.918,14.847865,1
10.298,18.660848,0
9.148,1.801813,0
8.942,9.862972,1
17.141,4.002197,1
10.877,17.238075,0
19.105,14.949797,1
0.216,4.590594,0
5.194,9.462569,1
6.655,10.379345,1
7.390,19.536119,0
0.392,15.469222,2
18.734,9.148228,1
10.201,1.396527,1
1.026,3.641469,0
17.800,19.770501,0
19.147,19.291971,1
11.640,3.418073,0
10.080,8.702048,1
13.216,19.934690,1
4.812,7.642445,0
19.056,18.217719,0
11.186,18.957488,1
11.498,8.650166,0
15.873,19.169897,0
1.371,7.539293,1
13.558,3.404645,0
15.730,6.429029,0
1.493,14.262520,0
13.741,16.932279,1
7.507,10.253609,0
3.864,11.686758,1
9.633,19.438459,0
5.446,12.073122,0
15.455,13.878597,1
7.857,3.317362,1
19.307,10.541093,0
10.280,7.596667,2
5.450,14.269845,1
15.310,15.778680,0
15.353,8.448134,1
19.442,8.422498,1
7.188,8.990143,2
13.616,6.660360,1
5.697,7.270119,1
16.923,3.584704,0
10.518,17.626270,2
16.594,16.771752,0
1.120,15.057222,2
17.406,12.559587,0
6.466,18.741417,1
13.631,2.712485,0
17.523,6.999115,0
6.646,4.091922,0
10.749,19.328593,1
1.327,1.956847,0
0.689,11.131321,0
4.368,7.526475,1
9.788,16.765038,0
17.629,10.425733,1
13.557,6.535234,1
9.652,16.633808,0
9.225,13.263955,0
18.473,12.569964,1
5.977,14.044618,0
8.831,5.937071,0
4.938,2.827235,0
16.932,3.944823,0
6.986,19.444563,1
5.872,19.544664,0
16.561,10.701621,1
4.847,6.291696,0
19.565,9.177526,1
15.276,12.473525,0
3.492,5.327921,0
16.972,15.112766,0
17.911,18.547929,1
17.462,4.480728,1
3.416,2.795495,1
17.614,19.749748,0
7.197,12.420423,0
16.661,6.389966,0
13.315,3.797723,1
9.775,15.964843,2
5.845,18.427076,2
1.304,18.919645,2
12.987,3.081759,2
6.792,11.014740,0
10.284,12.669454,0
6.918,4.010132,0
11.061,11.402936,1
6.475,1.232948,0
2.219,17.921079,0
1.508,8.655660,0
13.509,9.977721,1
7.750,2.104556,1
18.398,14.330271,0
13.458,1.228065,1
14.670,17.439497,0
9.802,10.846278,0
2.875,2.624592,0
1.911,0.307016,0
10.756,9.285562,1
13.710,1.481979,0
1.777,19.815058,0
9.668,16.009400,0
15.876,9.837947,1
6.592,12.425916,0
0.569,7.394024,0
18.575,3.811151,1
0.542,16.689352,0
8.244,6.554765,1
3.822,12.044435,0
7.412,10.886563,0
12.698,17.661672,0
0.279,3.790399,1
17.475,18.839686,1
12.289,14.925382,0
1.220,0.255745,0
17.775,6.175726,1
13.600,16.947539,1
9.529,15.466781,1
1.946,13.606983,0
3.402,15.453352,0
17.674,17.831965,0
1.068,17.726371,0
6.181,2.935270,0
4.078,3.143406,1
18.340,5.959044,0
2.336,8.924223,0
11.720,16.502579,1
10.099,13.122959,0
19.669,1.997742,0
12.655,7.112644,1
16.357,5.059969,1
16.783,16.702170,0
15.934,18.524735,1
8.126,2.504959,1
13.907,13.809015,0
8.610,0.202643,1
8.870,8.223518,1
17.020,11.303446,0
12.716,6.845912,1
5.865,5.039216,0
7.441,4.594256,0
17.668,2.025208,0
16.683,4.121220,1
13.777,0.292978,2
10.107,15.151830,0
18.856,14.336375,0
8.769,10.890835,0
14.158,7.791375,1
9.584,7.129124,0
2.709,10.372021,1
17.015,19.667348,0
19.544,19.688101,1
0.118,5.683157,0
10.087,18.571123,2
3.062,4.675436,1
9.840,8.537248,1
7.247,4.595477,1
8.472,10.000916,0
13.158,8.805811,1
11.455,9.876400,1
0.062,9.477218,0
2.361,7.186499,0
11.683,3.064058,0
18.947,17.301553,0
5.980,13.469649,0
6.156,5.439009,0
17.156,18.530229,0
19.159,10.044862,0
8.007,5.449995,0
19.554,6.682943,1
0.757,10.804163,0
17.863,13.055208,0
4.499,10.733970,1
5.437,5.783868,0
7.342,16.966460,0
8.901,9.573656,0
11.436,4.276864,0
10.265,9.379559,0
18.953,5.024567,1
5.824,6.213569,1
7.180,16.379284,0
6.966,7.203589,0
0.838,15.872066,1
16.033,10.538041,0
19.747,10.889004,0
0.325,15.917234,0
9.970,17.737358,0
17.419,1.137120,2
16.566,15.904416,0
14.875,15.435041,1
6.055,13.138829,0
17.505,10.209052,1
16.752,6.976531,0
5.288,17.755669,1
5.054,18.337962,1
15.086,18.633381,0
5.863,2.815027,0
9.267,8.286996,1
15.195,15.290994,0
4.370,3.553575,0
13.175,13.488571,0
2.935,19.677114,2
15.489,16.104007,0
1.617,18.453322,0
11.441,1.126743,0
18.726,18.138371,0
16.746,19.985351,0
14.284,5.733207,0
19.158,13.129673,0
5.773,2.280953,0
5.092,2.696615,1
12.657,1.792657,2
5.335,7.861568,0
12.809,14.437086,1
7.985,18.510697,1
4.000,14.605548,0
16.754,12.862941,0
13.539,4.489883,0
2.727,14.659871,1
9.196,13.795587,0
7.742,15.548570,0
14.551,6.203192,2
7.483,18.290963,1
1.879,13.221839,1
12.431,6.410718,1
5.692,6.046327,0
14.793,15.919065,0
10.083,6.048769,0
19.526,14.725791,0
12.967,4.525285,1
7.593,5.379803,0
0.378,12.330088,1
9.571,16.752220,0
13.921,10.011292,1
17.728,0.283212,2
4.514,19.085055,1
14.712,16.438490,1
15.542,5.064241,0
6.963,6.966765,0
8.558,12.873928,1
0.969,18.623615,0
14.640,5.267495,0
10.509,13.946348,0
4.537,4.881741,0
12.992,14.740440,0
0.742,10.549638,1
3.027,13.872494,0
4.581,8.491470,0
1.335,1.019318,0
1.487,9.017609,1
7.153,17.981506,1
17.556,9.363689,0
12.220,9.192175,0
10.510,13.281655,0
4.508,3.050020,2
8.211,8.015992,0
19.797,9.693289,1
17.834,9.284951,0
9.217,10.846889,0
18.820,14.899136,2
0.914,7.363506,0
2.762,17.631764,0
3.920,0.086062,0
13.315,17.976623,1
12.388,9.654836,0
9.271,7.412946,0
18.295,10.882900,0
3.933,2.801599,1
10.758,7.331156,0
3.894,2.539750,1
10.066,1.701102,0
0.356,5.097201,1
14.563,7.672353,2
16.120,0.565203,0
8.521,18.812830,0
1.351,15.831782,0
9.099,0.178838,1
1.277,4.017457,1
0.533,18.246406,1
8.907,18.798181,1
13.688,14.772790,0
5.927,4.225593,0
19.069,0.241707,0
4.881,0.692770,0
11.446,12.500381,1
15.759,17.647633,0
14.205,16.206549,0
10.135,13.693655,1
1.543,8.738060,0
5.968,14.698935,0
6.648,8.160649,0
6.180,10.536210,0
13.975,8.894314,0
14.162,1.080966,0
3.748,0.699484,0
19.313,12.093875,1
6.823,16.611225,1
15.741,11.609241,1
18.013,5.439619,0
7.259,7.456282,1
6.024,14.470046,0
1.790,16.540422,0
8.123,17.976623,1
8.313,6.504715,1
7.636,17.191687,1
19.473,0.401013,0
2.451,7.334208,0
12.980,4.994049,1
2.598,17.342448,0
14.919,13.318278,2
5.075,17.921079,0
18.112,2.126530,1
4.005,3.535875,0
18.618,14.841762,0
4.293,3.980834,1
3.553,10.635090,1
16.864,11.135594,0
13.304,10.277413,0
3.641,16.548357,0
11.283,19.356670,0
10.367,5.459151,1
4.354,19.514145,0
15.407,2.899869,1
7.046,8.311411,1
12.652,17.481613,0
12.674,18.351390,1
16.647,18.508255,0
4.505,16.284677,1
8.071,12.035279,1
10.089,12.325816,0
7.699,11.494491,0
11.874,0.899075,2
16.957,8.518326,0
17.238,3.042695,1
13.205,19.582507,0
1.060,11.197851,1
17.884,14.094058,0
3.956,7.002167,0
5.618,19.550768,0
19.305,12.720115,0
12.438,9.394208,0
12.177,6.927091,1
11.222,9.185461,0
3.325,5.078890,0
12.483,6.723838,1
1.314,15.590686,0
18.647,1.735893,0
15.957,12.041993,1
9.920,0.762963,2
16.155,12.146977,0
9.887,12.865383,0
5.286,4.105350,0
8.961,11.771599,0
17.250,10.957366,1
13.812,0.103153,0
6.301,13.576464,1
0.890,1.288491,0
13.806,2.917570,0
2.185,14.801477,1
5.026,2.148503,0
1.327,0.340587,0
19.075,9.289224,0
8.176,6.585284,0
5.161,0.982086,0
9.999,10.141301,0
8.244,8.023927,0
7.384,0.307627,0
17.230,3.278298,0
13.001,15.294046,0
18.829,12.594378,0
1.342,5.500046,1
10.210,9.361858,1
7.562,9.498581,0
13.560,3.321024,0
3.544,18.330027,0
5.684,4.256722,2
9.317,13.750420,1
5.777,11.200293,0
7.951,16.047853,0
14.474,7.763909,1
2.060,7.046724,0
7.319,14.233833,0
0.015,3.946043,0
15.780,17.042756,2
10.024,9.588305,1
18.913,6.255074,1
10.185,14.810022,0
18.829,1.682791,1
12.636,18.481399,0
3.065,18.258614,0
9.934,0.868557,0
7.006,11.289407,0
1.787,15.942259,1
19.454,12.226936,0
10.263,18.252510,0
4.503,15.557115,0
1.597,10.002136,0
2.817,7.460555,0
2.727,3.941160,0
5.454,16.847438,1
10.682,7.705924,1
3.347,19.404889,0
2.944,5.222938,1
5.579,15.270852,0
6.916,0.819117,1
9.573,10.976897,0
16.612,1.641896,0
16.319,6.260567,0
14.701,4.029664,2
13.763,16.396985,0
8.026,19.454329,0
1.486,10.654012,0
14.729,5.650807,1
19.805,17.513962,0
11.093,18.580279,1
16.396,17.269204,0
16.249,10.823695,1
13.601,12.633442,0
2.847,12.058473,0
9.510,17.982116,0
11.834,17.221595,0
15.960,17.849055,1
19.464,17.998596,0
6.579,15.308084,0
14.646,3.253273,0
17.986,0.863674,0
14.781,4.032716,0
17.283,2.475051,0
18.198,8.764916,0
18.967,7.328104,1
1.307,4.272591,1
4.368,16.006958,0
18.624,8.243049,1
6.769,19.658803,0
13.745,8.757591,0
15.293,0.798364,0
19.446,16.520890,2
0.726,8.370617,1
14.997,5.411542,1
16.364,7.693106,0
18.833,6.975921,1
17.029,15.907468,0
4.692,14.494461,1
9.378,3.563341,2
19.372,2.238838,1
16.619,12.963652,0
10.193,15.555895,0
10.766,13.887143,1
0.331,17.391888,0
15.572,7.320170,0
0.116,6.888638,0
13.228,17.825861,1
12.431,15.674917,0
17.998,5.165563,2
0.345,17.480392,0
9.878,15.804926,1
15.099,16.688131,0
11.427,4.928129,0
12.550,11.467635,0
0.883,9.587695,1
16.244,17.094028,2
4.697,3.604236,1
15.195,5.090487,0
2.604,14.858852,1
14.522,3.820307,0
8.353,15.583972,0
7.064,16.143071,0
19.236,6.295969,0
4.095,19.767449,0
17.526,3.979614,0
13.269,5.927305,0
16.951,15.155492,0
1.905,2.003235,1
17.335,4.456923,0
13.769,13.708304,2
0.532,19.343242,0
17.433,12.475356,1
10.769,1.560106,0
14.385,3.662832,0
12.524,5.997497,0
4.968,1.206702,0
9.083,17.540819,1
0.314,4.338511,2
14.867,6.565752,0
18.370,2.005066,1
4.686,13.685720,0
12.149,0.602435,0
13.036,4.382458,0
8.341,0.660421,0
6.535,4.146245,1
4.389,18.095035,0
2.686,14.747154,1
2.183,15.652944,1
18.019,2.265084,0
6.458,0.183721,1
18.794,17.503586,0
6.070,11.352275,0
17.356,19.406720,0
6.221,17.418744,0
7.291,2.115543,1
9.811,3.722037,1
0.481,16.280404,1
15.997,9.479049,1
19.212,5.248573,1
14.116,18.525346,1
6.436,6.773888,1
1.077,19.633778,0
7.331,0.844752,1
0.360,2.023377,0
5.263,14.280221,1
10.738,1.690115,0
5.304,2.702109,0
2.852,4.182867,1
8.393,0.521867,0
11.762,19.448836,1
9.308,19.553209,0
3.598,14.376049,1
1.534,6.885586,0
4.445,18.655354,0
2.184,2.642293,1
9.568,9.585253,1
0.070,8.243660,1
1.121,11.454207,0
0.076,5.804621,0
12.459,15.106662,0
6.939,19.288308,1
7.169,13.342692,0
1.570,18.043764,1
10.964,17.751396,0
13.038,13.353069,1
4.538,12.622456,2
19.340,8.608661,0
15.538,11.550035,0
0.098,13.748589,0
17.753,12.355113,0
14.281,4.575335,0
15.658,15.956297,1
6.092,17.584155,0
2.436,4.810327,0
12.157,0.920438,1
9.596,6.548051,1
13.111,12.099368,0
16.324,18.427076,0
2.736,3.102512,0
16.680,18.234199,0
17.759,3.490707,1
12.778,17.257607,0
1.435,2.139348,1
12.060,0.951567,0
4.049,18.241523,1
16.803,12.926420,0
13.457,2.185736,0
3.975,7.876217,0
18.787,16.948149,0
3.564,9.083529,0
0.434,0.610981,0
13.517,16.118656,1
9.466,0.647603,0
19.398,18.355052,1
9.567,0.579852,1
16.900,19.932859,0
4.653,9.650563,1
5.334,11.794794,0
5.266,16.127201,0
10.221,16.414686,0
16.887,14.861293,0
3.106,0.844142,0
3.291,9.736015,1
16.729,3.709830,0
8.061,1.613208,1
3.668,11.778314,0
7.393,2.421339,0
16.589,11.713614,0
17.318,5.994446,0
18.213,12.661519,1
8.455,16.301157,0
19.148,5.273598,1
11.440,3.673208,1
11.684,12.803125,0
6.131,9.676809,0
17.701,19.896847,0
17.739,11.230201,1
18.795,14.706259,0
12.987,4.614399,0
6.757,9.946593,0
19.446,19.985351,1
2.539,18.523515,1
1.144,7.019257,1
1.803,9.353313,0
13.606,2.322459,1
15.215,19.009980,0
11.416,19.215064,0
1.572,4.809717,0
11.463,10.525224,1
1.930,14.974212,0
4.952,5.020905,0
12.806,1.480148,0
1.353,8.095340,0
6.627,11.236305,1
17.374,7.333598,0
17.523,1.200598,1
14.099,13.589892,0
0.591,13.074740,1
15.423,18.199408,0
2.781,13.183386,1
10.893,16.942656,0
13.475,13.183996,0
16.093,1.397137,0
12.949,17.217322,0
13.692,8.296152,2
6.800,11.125828,0
8.277,7.516099,0
4.466,19.374371,1
18.110,19.329203,0
9.988,5.282754,0
16.907,1.530198,1
3.110,0.211188,0
8.803,17.081820,0
18.867,17.311930,0
9.589,2.879727,1
3.763,15.474105,1
17.367,10.288400,0
16.689,9.096347,0
5.751,18.049867,1
12.677,9.297159,1
2.722,8.203375,0
17.646,12.200079,0
8.280,5.643483,1
12.238,19.911496,0
14.007,11.927244,1
12.886,9.820246,0
17.664,13.968322,0
8.234,17.843562,0
15.965,18.239082,1
19.029,11.239967,1
8.628,11.105686,1
19.620,16.621601,0
16.843,15.920286,0
9.179,18.782922,0
9.283,7.494736,1
10.780,15.977660,1
18.774,14.586627,1
6.446,7.264016,0
2.758,11.009857,0
6.301,17.549364,0
10.670,6.012757,0
19.955,15.945921,1
11.349,14.534745,1
8.230,13.085116,0
3.617,17.965026,0
3.367,12.988678,1
3.151,16.044801,1
15.842,5.145421,0
8.759,0.521867,1
15.892,12.403943,0
1.204,11.185034,2
7.909,0.308847,0
17.691,4.911649,0
5.802,3.510849,1
15.135,18.345897,0
7.462,14.871059,0
5.353,14.833216,0
16.454,12.884304,1
15.292,16.241951,1
9.059,13.050935,1
15.417,10.287179,0
14.798,18.812830,0
9.392,13.992126,0
8.549,17.692190,0
8.177,3.903317,0
2.397,18.247017,1
1.657,13.694876,1
15.337,13.469039,0
10.943,9.770196,0
8.942,6.256905,0
14.457,5.507981,1
7.151,2.584918,0
10.930,4.759667,0
8.266,7.984252,0
12.447,15.228736,0
7.310,12.980132,1
10.646,2.359691,0
16.861,3.091525,0
9.213,4.365368,1
4.484,19.031953,1
5.787,18.999603,1
14.893,2.721641,0
16.409,2.723472,0
14.963,14.758751,0
5.626,12.877590,0
9.719,18.946501,0
15.398,13.479415,0
7.424,19.523911,0
15.902,15.290384,1
1.900,6.718345,0
11.393,10.756554,0
10.194,16.237678,0
4.212,14.461501,1
13.721,18.331858,1
10.098,9.709769,1
1.014,2.059389,0
7.902,11.869259,1
0.199,10.365917,0
16.850,9.097568,1
19.313,11.605579,1
4.458,11.073946,0
2.609,3.144017,1
18.255,6.363720,1
0.961,12.646260,2
4.395,19.045991,1
4.490,12.686544,1
6.333,5.213782,0
15.547,14.311960,1
6.647,19.995117,1
10.168,15.161596,0
5.158,15.693838,1
6.135,7.796258,1
16.461,1.697439,1
5.763,3.838618,1
19.997,6.766564,1
11.536,19.561144,1
5.785,14.325999,1
2.716,18.544877,1
8.951,11.395001,0
11.069,17.034211,0
16.160,1.774346,1
3.796,7.611927,0
17.098,4.113285,1
11.833,6.817225,1
4.108,5.488449,1
11.617,2.336497,0
13.128,11.110569,1
18.463,5.387738,2
9.027,0.794092,0
19.656,3.927732,0
8.492,12.806177,0
5.405,2.301706,0
3.576,5.724052,0
5.768,2.963958,0
19.035,18.928800,0
11.678,15.896481,1
6.573,2.347484,0
8.200,11.342509,1
9.140,16.093020,0
18.137,1.493576,0
18.378,10.596026,0
4.108,6.736045,1
18.369,7.880490,0
7.241,12.104251,2
18.788,14.593341,0
10.573,9.543748,0
10.602,7.415998,0
5.321,11.629383,0
7.427,1.484420,0
8.115,12.345347,1
5.679,2.445143,1
7.343,0.565203,0
6.635,12.762230,1
6.711,1.852474,0
13.540,12.914212,0
4.171,14.204535,0
6.864,8.094729,0
14.307,13.365886,0
10.865,1.046175,1
12.338,13.340861,0
14.558,1.654714,1
7.837,17.723319,1
0.217,13.921323,0
6.308,7.471541,2
2.556,10.948210,0
6.738,0.755638,0
11.681,18.552812,0
13.245,10.499588,0
2.973,18.141423,0
8.964,15.241554,1
7.001,9.466231,1
10.273,8.940092,1
2.597,3.888668,0
9.503,5.355388,0
6.228,8.777734,1
4.246,2.618488,1
0.775,13.663137,1
1.393,3.626209,0
16.857,18.773156,1
14.016,17.878964,0
9.808,16.580706,2
19.236,0.387585,1
5.463,6.981414,0
15.190,13.282266,2
17.837,16.731468,1
5.216,5.730766,0
11.853,3.760491,0
7.404,17.813654,1
14.236,17.006745,0
17.612,3.958861,1
5.692,12.368542,0
4.085,1.582690,0
17.504,15.427717,0
1.813,0.539567,0
5.659,11.545152,0
4.718,19.028901,1
5.654,13.971984,1
3.839,1.558275,0
1.074,10.588702,0
9.608,4.620502,0
9.102,19.904172,1
6.352,5.670949,0
16.048,16.935942,1
17.152,1.064486,1
6.062,19.601428,1
7.172,8.557390,0
16.119,16.237678,1
3.597,0.003662,1
0.432,4.882351,0
0.292,19.875484,0
17.394,4.938505,0
5.314,15.222633,2
2.187,11.838740,0
19.399,12.710959,0
18.188,15.355693,1
3.555,8.348033,0
10.271,12.156743,0
3.881,5.534837,1
13.168,13.254189,0
11.728,7.057711,0
17.983,16.950591,1
7.350,16.655782,1
9.993,7.928098,0
5.150,15.777459,1
0.872,13.088778,1
8.654,11.167943,0
8.450,14.778283,1
13.329,18.887295,0
7.129,12.021851,0
5.393,0.411390,0
2.100,10.387890,0
14.714,16.423231,0
10.468,11.111789,1
9.936,13.921934,1
2.415,0.102542,1
13.969,12.282479,2
5.530,7.458724,0
7.935,3.881954,0
5.424,18.110904,0
1.738,14.924162,0
5.764,4.229255,0
19.343,2.078921,0
0.845,0.014649,0
16.912,10.574664,0
3.822,9.486984,1
1.923,9.353313,0
3.734,7.917722,1
11.386,8.927885,1
14.446,7.516099,1
17.277,17.554857,0
8.620,7.995849,1
17.337,1.351970,1
19.863,2.653279,0
19.344,3.993042,1
6.148,0.577410,2
16.979,11.589099,1
17.671,15.615711,0
5.430,18.395337,0
2.222,2.722861,1
14.837,18.961760,1
11.238,12.325205,0
9.719,2.352977,1
19.639,3.301492,1
12.505,14.070864,1
2.579,5.241249,1
19.286,1.281777,0
2.235,10.569781,1
5.919,7.006439,0
7.760,7.188330,0
12.614,8.868068,1
1.526,12.248909,0
5.116,8.043458,0
14.781,17.679983,0
0.613,4.027223,1
5.846,8.103275,0
16.504,0.849025,1
3.969,1.751152,0
10.131,0.354015,0
11.986,15.021210,0
7.626,8.185064,0
10.869,1.285440,0
9.972,8.077639,0
19.341,4.587542,0
14.427,10.109561,0
11.632,18.842128,1
19.412,8.512223,0
6.543,13.167516,0
11.016,14.682455,1
10.909,13.983581,1
19.213,1.011383,1
10.608,4.480728,0
1.937,1.164586,0
12.239,12.107303,0
5.137,2.423780,1
8.574,4.682150,1
16.929,15.728629,1
10.942,5.769829,0
3.970,19.041108,0
1.639,9.937437,0
8.197,19.651479,0
9.509,8.516495,0
12.028,11.055025,0
1.808,6.503494,0
10.174,10.025941,0
15.491,1.210364,0
16.175,9.509568,0
1.026,3.305765,1
1.785,12.960601,0
1.888,10.858486,1
17.341,5.753349,0
2.825,17.016511,1
11.220,9.283731,0
10.049,1.941588,0
16.540,13.394574,1
16.462,9.631642,1
3.192,12.745140,0
15.050,0.241707,0
3.376,2.750938,0
13.558,18.550371,0
8.706,0.719626,1
13.591,9.170202,0
7.071,7.806024,0
7.241,19.154027,1
17.325,17.413251,0
14.390,18.596149,0
9.969,5.661184,0
13.789,19.880367,0
11.931,9.559618,1
11.066,6.173284,0
3.562,8.487197,1
16.762,9.807428,1
5.999,14.630573,0
17.535,11.170385,0
6.997,7.980590,1
13.653,18.727378,1
3.358,1.535081,1
5.899,0.797754,0
8.097,12.313608,0
5.021,9.723807,0
0.452,3.822748,0
6.837,9.035310,1
6.875,15.589465,1
6.136,4.255501,0
11.115,5.387738,0
12.494,7.961058,0
1.547,19.793695,0
1.118,19.728385,1
13.830,18.672445,0
1.873,11.580554,0
17.056,9.248939,0
19.578,19.577624,1
1.496,15.367290,0
8.728,12.152470,0
16.075,17.568285,0
15.755,15.842158,0
13.695,9.618213,0
11.949,9.016999,0
12.535,7.104709,0
10.166,4.247566,0
11.455,13.728446,0
8.458,9.928282,1
7.630,0.910672,0
13.735,11.781365,1
14.521,6.358837,1
8.596,4.875637,0
8.343,7.185278,1
14.443,16.769921,0
1.114,13.235878,1
14.016,12.417982,1
8.451,16.229743,0
6.462,1.458174,1
10.200,0.349742,0
18.072,18.508255,0
12.051,9.900815,0
1.801,17.089755,0
6.256,19.662465,0
8.710,7.820673,1
19.568,3.563341,0
4.442,1.479537,0
6.535,7.304910,0
13.861,7.584460,1
16.272,0.545061,0
6.984,9.099399,0
